pp_id,accuracy,precision,recall,f1
111,0,1.0,0.5,0.6666666666666666
112,0,1.0,0.5,0.6666666666666666
113,0,1.0,0.4,0.5714285714285715
114,0,1.0,0.3333333333333333,0.5
115,0,1.0,0.5,0.6666666666666666
116,0,1.0,0.3333333333333333,0.5
117,0,1.0,0.4,0.5714285714285715
118,0,1.0,0.5,0.6666666666666666
119,0,0.5,0.3333333333333333,0.4
120,0,1.0,0.4,0.5714285714285715
121,0,1.0,0.25,0.4
122,0,1.0,0.5,0.6666666666666666
123,0,1.0,0.5,0.6666666666666666
124,0,1.0,0.25,0.4
125,0,1.0,0.8,0.888888888888889
126,0,1.0,0.5,0.6666666666666666
127,0,1.0,0.6666666666666666,0.8
128,0,1.0,0.6666666666666666,0.8
129,0,1.0,0.3333333333333333,0.5
130,0,1.0,0.5,0.6666666666666666
131,0,1.0,0.4,0.5714285714285715
132,0,1.0,0.5,0.6666666666666666
133,0,1.0,0.5,0.6666666666666666
134,0,1.0,0.5,0.6666666666666666
135,0,1.0,0.6666666666666666,0.8
136,0,1.0,0.75,0.8571428571428571
137,0,1.0,0.5,0.6666666666666666
138,0,1.0,0.5,0.6666666666666666
139,0,1.0,0.4,0.5714285714285715
140,0,1.0,0.5,0.6666666666666666
141,0,1.0,0.4,0.5714285714285715
142,0,1.0,0.5,0.6666666666666666
143,0,1.0,0.5,0.6666666666666666
144,0,1.0,0.5,0.6666666666666666
145,0,1.0,0.6666666666666666,0.8
146,0,1.0,0.4,0.5714285714285715
147,0,1.0,0.5,0.6666666666666666
148,0,1.0,0.6666666666666666,0.8
149,0,1.0,0.4,0.5714285714285715
150,0,1.0,0.5,0.6666666666666666
151,0,1.0,0.5,0.6666666666666666
152,0,1.0,0.5,0.6666666666666666
153,0,1.0,0.5,0.6666666666666666
154,0,1.0,0.25,0.4
