,accuracy,semantic_similarity,precision,recall,f1,bertscore_p,bertscore_r,bertscore_f1,pp_id
21,0.0,0.0,0.0,0.0,0.0,0.9997903108596802,0.9997903108596802,0.9997903108596802,22
22,0.0,0.6511627906976745,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9219373464584351,0.929516613483429,0.9257113933563232,23
23,0.0,0.6666666666666666,0.0,0.0,0.0,0.9993382096290588,0.9993382096290588,0.9993382096290588,24
24,0.0,0.0,0.0,0.0,0.0,0.9989191293716431,0.9989191293716431,0.9989191293716431,25
25,0.0,0.3684210526315789,0.0,0.0,0.0,0.9687492251396179,0.9580767154693604,0.9633833765983582,26
26,0.0,0.6666666666666666,0.0,0.0,0.0,0.9996100068092346,0.9996100068092346,0.9996100068092346,27
27,0.0,0.4827586206896552,1.0,0.3333333333333333,0.5,0.9167578220367432,0.8142929673194885,0.8624928593635559,28
28,1.0,1.0,1.0,1.0,1.0,0.999999463558197,0.999999463558197,0.999999463558197,29
29,0.0,0.0,0.0,0.0,0.0,0.9991793036460876,0.9991793036460876,0.9991793036460876,30
30,0.0,0.0,0.0,0.0,0.0,0.9993913769721985,0.9993913769721985,0.9993913769721985,31
31,0.0,0.75,0.0,0.0,0.0,0.9994511604309082,0.9994511604309082,0.9994511604309082,32
32,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,33
33,0.0,0.5121951219512195,0.0,0.0,0.0,0.7933670282363892,0.887343168258667,0.8377277851104736,34
34,0.0,0.0,0.0,0.0,0.0,0.9997094869613647,0.9997094869613647,0.9997094869613647,35
35,0.0,0.13793103448275862,0.0,0.0,0.0,0.8137785792350769,0.73380446434021,0.7717251181602478,36
36,0.0,0.15384615384615385,0.0,0.0,0.0,0.7667690515518188,0.7982505559921265,0.7821931838989258,37
37,0.0,0.4383561643835616,0.0,0.0,0.0,0.9160369634628296,0.8690743446350098,0.8919379115104675,38
38,0.0,0.9795918367346939,0.5,0.5,0.5,0.9890537858009338,0.9890537858009338,0.9890537858009338,39
39,0.0,0.200884771829815,0.0,0.0,0.0,0.872958779335022,0.8961561918258667,0.8844053745269775,40
40,0.0,0.47398843930635837,0.0,0.0,0.0,0.7511695623397827,0.8824981451034546,0.8115552067756653,41
41,0.0,0.0,0.0,0.0,0.0,0.97834312915802,0.97834312915802,0.97834312915802,42
42,0.0,0.39876746810172725,0.0,0.0,0.0,0.894157886505127,0.9139426946640015,0.9039420485496521,43
43,0.0,0.6666666666666666,0.0,0.0,0.0,0.9834211468696594,0.9834211468696594,0.9834211468696594,44
44,0.0,0.2857142857142857,0.0,0.0,0.0,0.9171349406242371,0.9171349406242371,0.9171349406242371,45
45,0.0,0.0,0.0,0.0,0.0,0.8950924873352051,0.9343932867050171,0.914320707321167,46
46,0.0,0.9,0.0,0.0,0.0,0.7187508344650269,0.8887282609939575,0.7947526574134827,47
47,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,48
48,0.0,0.0,0.0,0.0,0.0,0.9998157620429993,0.9998157620429993,0.9998157620429993,49
49,0.0,0.0,0.0,0.0,0.0,0.9997974634170532,0.9997974634170532,0.9997974634170532,50
50,0.0,0.525,0.3333333333333333,0.5,0.4,0.9299272298812866,0.9367935657501221,0.933347761631012,51
51,0.0,0.6181818181818182,0.0,0.0,0.0,0.8809771537780762,0.8315272331237793,0.8555382490158081,52
52,0.0,0.6666666666666666,0.25,0.5,0.3333333333333333,0.8727008700370789,0.9405745267868042,0.905367374420166,53
53,1.0,1.0,1.0,1.0,1.0,0.9999995231628418,0.9999995231628418,0.9999995231628418,54
54,0.0,0.2926829268292683,0.2,1.0,0.33333333333333337,0.8011617660522461,0.8823332190513611,0.8397905826568604,55
55,0.0,0.35294117647058826,1.0,0.16666666666666666,0.2857142857142857,0.9215748906135559,0.8323506116867065,0.8746932744979858,56
56,0.0,0.6074074074074074,0.5,0.25,0.3333333333333333,0.8883376121520996,0.8734145164489746,0.8808128237724304,57
57,0.0,0.5263157894736842,0.0,0.0,0.0,0.8750934600830078,0.9399961233139038,0.9063844084739685,58
58,0.0,0.9117647058823529,0.0,0.0,0.0,0.8700902462005615,0.9226839542388916,0.8956156373023987,59
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62
61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64
63,1.0,0.8888888888888888,1.0,1.0,1.0,0.9285802245140076,0.9683983325958252,0.9480713605880737,65
64,1.0,1.0,1.0,1.0,1.0,1.0000003576278687,1.0000003576278687,1.0000003576278687,66
65,0.0,0.6666666666666666,0.0,0.0,0.0,0.9768299460411072,0.9768299460411072,0.9768299460411072,67
66,0.0,0.1511879049676026,0.1,0.14285714285714285,0.11764705882352941,0.8403232097625732,0.9003239870071411,0.8692894577980042,68
67,0.0,0.22641509433962265,0.0,0.0,0.0,0.8828941583633423,0.828144371509552,0.8546432852745056,69
68,0.0,0.2909090909090909,0.0,0.0,0.0,0.8096328973770142,0.8386712074279785,0.8238962888717651,70
69,0.0,0.0,0.0,0.0,0.0,0.9954853057861328,0.9954853057861328,0.9954853057861328,71
70,0.0,0.4998446890404484,0.5,0.3333333333333333,0.4,0.8993483185768127,0.9326514005661011,0.9156971573829651,72
71,0.0,0.07605068159963799,0.3888888888888889,0.4375,0.411764705882353,0.8989051580429077,0.927965521812439,0.9132041931152344,73
72,0.0,0.6428571428571429,0.0,0.0,0.0,0.8430047035217285,0.9073391556739807,0.8739895820617676,74
73,0.0,0.5909090909090909,0.0,0.0,0.0,0.8321115970611572,0.8779140710830688,0.8543993830680847,75
74,0.0,0.13333333333333333,0.0,0.0,0.0,0.783545970916748,0.8069548606872559,0.7950781583786011,76
75,0.0,0.0,0.0,0.0,0.0,0.7641156911849976,0.7136846780776978,0.7380397319793701,77
76,0.0,0.0,0.0,0.0,0.0,0.8503210544586182,0.8880518674850464,0.8687770366668701,78
77,0.0,0.9090909090909091,0.0,0.0,0.0,0.9467713236808777,0.9467713236808777,0.9467713236808777,79
78,0.0,0.17391304347826086,0.0,0.0,0.0,0.7783960103988647,0.7653361558914185,0.7718108296394348,80
79,0.0,0.8888888888888888,0.0,0.0,0.0,0.762833297252655,0.9193841218948364,0.8338242173194885,81
80,0.0,0.1550416650441961,0.14285714285714285,0.25,0.18181818181818182,0.8568775653839111,0.9030663967132568,0.8793659210205078,87
81,0.0,0.975609756097561,0.5,0.5,0.5,0.9645390510559082,0.9804854989051819,0.9724469184875488,89
82,1.0,1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,0.9999998211860657,92
83,0.0,0.003105590062111801,0.0,0.0,0.0,0.8073170781135559,0.6752175092697144,0.7353819608688354,93
